name,cv_f1_micro,cv_f1_macro,test_f1_micro,test_f1_macro,minutes,thr
linsvm_C1_C0.5,0.8965952266384883,0.8900176485331702,0.8950863213811421,0.8869485989754942,0.05,"[0.36000000000000004, 0.35000000000000003, 0.49000000000000005, 0.37000000000000005]"
linsvm_C1_C1.0,0.8975348749422097,0.8907685015699364,0.8860759493670886,0.8705914033574944,0.05,"[0.36000000000000004, 0.34, 0.4700000000000001, 0.43000000000000005]"
linsvm_C1_C2.0,0.8964138904965159,0.8890089900488901,0.8825481088254811,0.8656073649088201,0.05,"[0.38000000000000006, 0.34, 0.4600000000000001, 0.43000000000000005]"
logreg_C2_C4.0,0.8908921277417701,0.8820743724377967,0.8758002560819462,0.8650324846180559,0.12,"[0.44000000000000006, 0.42000000000000004, 0.5000000000000001, 0.39000000000000007]"
logreg_C2_C1.0,0.8785684543023334,0.8726388383416324,0.8680961663417803,0.8567117457587086,0.06,"[0.4600000000000001, 0.4700000000000001, 0.5200000000000001, 0.49000000000000005]"
logreg_C2_C2.0,0.8878632953276432,0.8801812049045147,0.868505452212957,0.8551644356294635,0.08,"[0.4600000000000001, 0.4600000000000001, 0.5100000000000001, 0.4100000000000001]"
logreg_C2_C0.5,0.8635523902204483,0.8589718593282344,0.8530331457160726,0.8402481867384222,0.05,"[0.4600000000000001, 0.4700000000000001, 0.4600000000000001, 0.5100000000000001]"
